block_time,name,original_amount,original_currency,usd_amount,nft_token_ids_array,number_of_items,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.25,ETH,490.305,"['3802', '4049', '4049', '4049', '3802', '2661', '4049', '4049', '3802', '4049', '4049', '4049', '3501', '2417', '2417', '2417', '2417', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '2417', '3501', '3802', '3501', '4049', '4049', '2661', '2661', '4049', '3802', '2417', '2661', '3802', '3802', '3500', '4049', '2661', '2661', '2661', '3500', '3802', '2661', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '3500', '3500', '3802', '3802', '4041', '2112', '3802', '4788', '4788', '4041', '4041', '4788', '4041', '4788', '2112', '3499', '3499', '3499', '2112', '3500', '2112', '3499', '3499', '3499', '3499', '2112', '3499', '3499', '3499', '3499', '3499', '1761', '4788', '4788', '4788', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2661', '2661', '1761', '676', '676', '676', '676', '676', '676', '676', '2661', '2661', '2112', '4788', '676', '676', '676', '676', '676', '4788', '4788', '4788', '4788', '2417', '2417', '2417', '2417', '2417', '3500', '2112', '3500', '2112', '2112', '3500', '2112', '3500', '3500', '2112', '2112', '3500', '3500', '2417', '3802']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.199,ETH,390.28278,"['3802', '4049', '4049', '4049', '3802', '2661', '4049', '4049', '3802', '4049', '4049', '4049', '3501', '2417', '2417', '2417', '2417', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '2417', '3501', '3802', '3501', '4049', '4049', '2661', '2661', '4049', '3802', '2417', '2661', '3802', '3802', '3500', '4049', '2661', '2661', '2661', '3500', '3802', '2661', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '3500', '3500', '3802', '3802', '4041', '2112', '3802', '4788', '4788', '4041', '4041', '4788', '4041', '4788', '2112', '3499', '3499', '3499', '2112', '3500', '2112', '3499', '3499', '3499', '3499', '2112', '3499', '3499', '3499', '3499', '3499', '1761', '4788', '4788', '4788', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2661', '2661', '1761', '676', '676', '676', '676', '676', '676', '676', '2661', '2661', '2112', '4788', '676', '676', '676', '676', '676', '4788', '4788', '4788', '4788', '2417', '2417', '2417', '2417', '2417', '3500', '2112', '3500', '2112', '2112', '3500', '2112', '3500', '3500', '2112', '2112', '3500', '3500', '2417', '3802']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.199,ETH,390.28278,"['3802', '4049', '4049', '4049', '3802', '2661', '4049', '4049', '3802', '4049', '4049', '4049', '3501', '2417', '2417', '2417', '2417', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '2417', '3501', '3802', '3501', '4049', '4049', '2661', '2661', '4049', '3802', '2417', '2661', '3802', '3802', '3500', '4049', '2661', '2661', '2661', '3500', '3802', '2661', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '3500', '3500', '3802', '3802', '4041', '2112', '3802', '4788', '4788', '4041', '4041', '4788', '4041', '4788', '2112', '3499', '3499', '3499', '2112', '3500', '2112', '3499', '3499', '3499', '3499', '2112', '3499', '3499', '3499', '3499', '3499', '1761', '4788', '4788', '4788', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2661', '2661', '1761', '676', '676', '676', '676', '676', '676', '676', '2661', '2661', '2112', '4788', '676', '676', '676', '676', '676', '4788', '4788', '4788', '4788', '2417', '2417', '2417', '2417', '2417', '3500', '2112', '3500', '2112', '2112', '3500', '2112', '3500', '3500', '2112', '2112', '3500', '3500', '2417', '3802']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.234,ETH,458.92548,"['4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '2661', '676', '2417', '2417', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '4049', '4049', '4049', '4049', '4049', '2661', '4049', '676', '676', '2112', '2112', '2112', '676', '2112', '2112', '2112', '2112', '2112', '4049', '4049', '4049', '2112', '3802', '2112', '4049', '4049', '4049', '3500', '3500', '2417', '2417', '676', '676', '2417', '2112', '3802', '3802', '3500', '676', '2112', '676', '676', '676', '676', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '4788', '4788', '4788', '4788', '676', '4788', '4788', '4788', '4788', '4788', '3501', '3501', '3802', '4788', '1761', '4788', '4788', '1761', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '1761', '1761', '1761', '1761', '1761', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '1761', '1761', '1761', '1761', '1761', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3501', '3499', '3499', '3499', '4041']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.199,ETH,390.28278,"['4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '2661', '676', '2417', '2417', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '4049', '4049', '4049', '4049', '4049', '2661', '4049', '676', '676', '2112', '2112', '2112', '676', '2112', '2112', '2112', '2112', '2112', '4049', '4049', '4049', '2112', '3802', '2112', '4049', '4049', '4049', '3500', '3500', '2417', '2417', '676', '676', '2417', '2112', '3802', '3802', '3500', '676', '2112', '676', '676', '676', '676', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '4788', '4788', '4788', '4788', '676', '4788', '4788', '4788', '4788', '4788', '3501', '3501', '3802', '4788', '1761', '4788', '4788', '1761', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '1761', '1761', '1761', '1761', '1761', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '1761', '1761', '1761', '1761', '1761', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3501', '3499', '3499', '3499', '4041']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.199,ETH,390.28278,"['4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '2661', '676', '2417', '2417', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '4049', '4049', '4049', '4049', '4049', '2661', '4049', '676', '676', '2112', '2112', '2112', '676', '2112', '2112', '2112', '2112', '2112', '4049', '4049', '4049', '2112', '3802', '2112', '4049', '4049', '4049', '3500', '3500', '2417', '2417', '676', '676', '2417', '2112', '3802', '3802', '3500', '676', '2112', '676', '676', '676', '676', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '4788', '4788', '4788', '4788', '676', '4788', '4788', '4788', '4788', '4788', '3501', '3501', '3802', '4788', '1761', '4788', '4788', '1761', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '1761', '1761', '1761', '1761', '1761', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '1761', '1761', '1761', '1761', '1761', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3501', '3499', '3499', '3499', '4041']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.199,ETH,390.28278,"['676', '2112', '2112', '2112', '2112', '2112', '2112', '2112', '2112', '2112', '2112', '2112', '2112', '2417', '2417', '2417', '2417', '2417', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '3500', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '676', '4049', '4049', '676', '676', '4049', '676', '676', '4049', '4049', '676', '676', '676', '676', '676', '676', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '2417', '2417', '2417', '2417', '2417', '2417', '2417']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.235,ETH,460.8867,"['3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3500', '3501', '3501', '2112', '2112', '2112', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '2112', '2112', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '2112', '4041', '4041', '4041', '2112', '2112', '4041', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2112', '1761', '1761', '2417', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '2417', '2112', '2112', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '3500', '3500', '3500', '3500', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '2112', '2417', '2417', '3500', '3500', '3500', '3500', '3500', '3500', '3500']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.235,ETH,460.8867,"['3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3500', '3501', '3501', '2112', '2112', '2112', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '2112', '2112', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '2112', '4041', '4041', '4041', '2112', '2112', '4041', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2112', '1761', '1761', '2417', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '2417', '2112', '2112', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '3500', '3500', '3500', '3500', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '2112', '2417', '2417', '3500', '3500', '3500', '3500', '3500', '3500', '3500']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.235,ETH,460.8867,"['3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3500', '3501', '3501', '2112', '2112', '2112', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '2112', '2112', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '2112', '4041', '4041', '4041', '2112', '2112', '4041', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2112', '1761', '1761', '2417', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '2417', '2112', '2112', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '3500', '3500', '3500', '3500', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '2112', '2417', '2417', '3500', '3500', '3500', '3500', '3500', '3500', '3500']",144,,,,,,
