total_eth,flagged_address
16709.083588073532,\x311f71389e3de68f7b2097ad02c6ad7b2dde4c71
2067.750892013527,\x1d60606d8a09b5015d773a80b0c660bb8d91809c
1835.17667148149,\xef57aa4b57587600fc209f345fe0a2687bc26985
1630.5774191330895,\x858457daa7e087ad74cdeeceab8419079bc2ca03
1283.9280043737228,\xaea3846e14bec1ba8f562844d39b1215a1d588c6
1279.0553973423748,\x4a0d27a1044dd871a93275de5109e5f5efc4d46e
1213.8873938742702,\xf0a924661b0263e5ce12756d07f45b8668c53380
1163.9041282770013,\x3fcb2d173389b7cd8079ef8b439dbd92e7e0ae28
1151.3030257909174,\x2268751eafc860781074d25f4bd10ded480310b9
1086.0928108765422,\x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6
