day,project,usd_volume
2020-10-01T00:00:00+00:00,Uniswap,408462914.34294236
2020-10-02T00:00:00+00:00,Sushiswap,58339302.64718257
2020-10-02T00:00:00+00:00,Uniswap,486213045.60829914
2020-10-03T00:00:00+00:00,Sushiswap,26228203.792667396
2020-10-03T00:00:00+00:00,Uniswap,320245102.1724817
2020-10-04T00:00:00+00:00,Sushiswap,49479380.74876153
2020-10-04T00:00:00+00:00,Uniswap,362335848.203071
2020-10-05T00:00:00+00:00,Sushiswap,27650204.046137415
2020-10-05T00:00:00+00:00,Uniswap,320470625.10162246
2020-10-06T00:00:00+00:00,Sushiswap,40245205.043965325
2020-10-06T00:00:00+00:00,Uniswap,469252430.153911
2020-10-07T00:00:00+00:00,Sushiswap,53304966.2533172
2020-10-07T00:00:00+00:00,Uniswap,373931862.04830265
2020-10-08T00:00:00+00:00,Sushiswap,54784062.44282851
2020-10-08T00:00:00+00:00,Uniswap,364701279.72279716
2020-10-09T00:00:00+00:00,Sushiswap,40173600.91925827
2020-10-09T00:00:00+00:00,Uniswap,320382628.68451977
2020-10-10T00:00:00+00:00,Sushiswap,27509635.96511731
2020-10-10T00:00:00+00:00,Uniswap,288031949.6517962
2020-10-11T00:00:00+00:00,Sushiswap,28216948.75695345
2020-10-11T00:00:00+00:00,Uniswap,238675446.02193794
2020-10-12T00:00:00+00:00,Sushiswap,25267032.23221788
2020-10-12T00:00:00+00:00,Uniswap,312552362.641813
2020-10-13T00:00:00+00:00,Sushiswap,16164298.193966899
2020-10-13T00:00:00+00:00,Uniswap,261054749.02508193
2020-10-14T00:00:00+00:00,Sushiswap,23181620.569197226
2020-10-14T00:00:00+00:00,Uniswap,352880984.73997307
2020-10-15T00:00:00+00:00,Sushiswap,19962141.244973004
2020-10-15T00:00:00+00:00,Uniswap,259175616.38783997
2020-10-16T00:00:00+00:00,Sushiswap,20128117.74455126
2020-10-16T00:00:00+00:00,Uniswap,222058166.0325798
2020-10-17T00:00:00+00:00,Sushiswap,12207394.918499688
2020-10-17T00:00:00+00:00,Uniswap,170986869.57242036
2020-10-18T00:00:00+00:00,Sushiswap,18119468.93222439
2020-10-18T00:00:00+00:00,Uniswap,178625662.1543234
2020-10-19T00:00:00+00:00,Sushiswap,16801817.679986253
2020-10-19T00:00:00+00:00,Uniswap,209201364.05435315
2020-10-20T00:00:00+00:00,Sushiswap,21430370.31666457
2020-10-20T00:00:00+00:00,Uniswap,240247471.439074
2020-10-21T00:00:00+00:00,Sushiswap,34771220.22847508
2020-10-21T00:00:00+00:00,Uniswap,323015615.3959019
2020-10-22T00:00:00+00:00,Sushiswap,26118622.038660504
2020-10-22T00:00:00+00:00,Uniswap,274888448.4258369
2020-10-23T00:00:00+00:00,Sushiswap,16098258.70537153
2020-10-23T00:00:00+00:00,Uniswap,251067476.8198803
2020-10-24T00:00:00+00:00,Sushiswap,11603256.931085786
2020-10-24T00:00:00+00:00,Uniswap,161295630.6128654
2020-10-25T00:00:00+00:00,Sushiswap,11484508.14852579
2020-10-25T00:00:00+00:00,Uniswap,181461531.91431585
2020-10-26T00:00:00+00:00,Sushiswap,25521996.09271212
2020-10-26T00:00:00+00:00,Uniswap,2227585296.7386785
2020-10-27T00:00:00+00:00,Sushiswap,22135683.938957162
2020-10-27T00:00:00+00:00,Uniswap,229110988.9827641
2020-10-28T00:00:00+00:00,Sushiswap,26055511.73106004
2020-10-28T00:00:00+00:00,Uniswap,422383933.80776674
2020-10-29T00:00:00+00:00,Sushiswap,25398611.453061484
2020-10-29T00:00:00+00:00,Uniswap,361268764.3381742
2020-10-30T00:00:00+00:00,Sushiswap,29589169.024013255
2020-10-30T00:00:00+00:00,Uniswap,373148499.1028268
2020-10-31T00:00:00+00:00,Sushiswap,14353837.586576512
2020-10-31T00:00:00+00:00,Uniswap,253269623.7972187
2020-11-01T00:00:00+00:00,Sushiswap,14627987.660593886
2020-11-01T00:00:00+00:00,Uniswap,197531005.84837657
2020-11-02T00:00:00+00:00,Sushiswap,14564467.162966335
2020-11-02T00:00:00+00:00,Uniswap,246551577.14949128
2020-11-03T00:00:00+00:00,Sushiswap,19432908.31449697
