to,total_transactions,total_eth
\xfc4e6e887f03bed2c194ca4c8d8f41eeb9e2a331,1,0.14513
\x9eec88c3d02b5a39193127ac14a125b7f0610b28,1,0.01251346
\xec75167604aaad0434752ad2c1d5863d4bf76895,1,0.02487
\x9474a5e0831c1cc71438fea2746a2aab9f34d4b6,1,0.12088
\x513ec82743eda08cf233b9255bd85812ebb888fd,1,0.00950485
\x7fdfaa3154d3cb82e90f5fde8c52a95d66211705,1,0.003433
\x6fddaa1bb2c3a01e80779442fddfef1ff7e7921f,1,0.07
\x93e79a0591fd3cb26807af65e787705c8dcd6f1c,1,0.03172
\x1f965d094abc3c99fb2063764c8ac6a54b7046f8,1,0.188911
\xaec2cc8986bb14c0c604d5adf725ba33920102bc,1,0.0001
\xf9ff11640d29aabcbf99554b135b09905588d592,1,0.01529682
\xc469d1c94887bdd02ee3c7bf9cc80b1d41f3ccbc,1,2.0001621898800006
\xcbd02526e0854001f97e13004a4bded8474409a1,1,0.311565
\x813ca840322e3795702300bb3ebaf7aee9af9536,1,1.999958
\xd52c412b295c24833bb28f2b532a771a7c7974e5,1,1.0
