from,total_transactions,total_eth
\x07db8822f7a399f087f8584f1d4a87881de3a158,1,0.52184509
\x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,1,0.29
\x5e032243d507c743b061ef021e2ec7fcc6d3ab89,1,0.5
\x3557482f010da3b0997cf2e1c4f601b6bc2ab2fd,1,1.0
\xb999b1b6e774b43fd34aba1b64d59a9e46d9c0c8,1,2.0
\xc81bdae4ff7cc5a8dbc8082695eb3a9412f52dce,1,0.9
\x49d38a7af31cda61efa97d18f6b50c4a50e92f02,1,0.000324906943271603
\x203908f0dde350ce47ed110f3a71412bb79edbe1,1,0.5
\x76c335e7786a9e5dd1b88ce05f1f73080506c077,1,2.0
\xe70296fbdb7b18adefb88f3fef504d2fa1a16a09,1,0.10074
\x1677e57a3f7a2b964ecec6b9d2f52de95a0d2d3a,1,1.97745699
\x2b5634c42055806a59e9107ed44d43c426e58258,1,0.2
\xeb66e17b435afce6906fdf565ca2f5f20f5c47f7,1,1.0
\x1b501a39724e12969939a6e65dc32f4ee2dff744,1,0.49874
\xcda553ecf223c67cb3b54038079c01e62eb83791,1,1.04124308
\x4879285c05408fd196ebf9ddaab0bec403f9051f,1,0.5
\xe3ce20adce1bc902b305f7819165f1e05104c93e,1,1.9
\x38fcbe866505d99b88f97fdd6cb7be88ec7a3f9c,1,0.05282949
\xa930b8e25ce46dfd24a6b33d2b67768994b2e07a,1,0.6
\x1883a3ee38b530dc68f680154d20bfcc0c095f2b,1,5.28
\xc599178ce57bd2092c095d7da3437f780c61ed80,1,0.6
\x5166c9a4549790dcdfda33a05c7d9136e2fa11b0,1,0.5
\xf95db762b54b6e5d4fad59cd05789474b6c4bc62,1,0.5
\x53cbea87582a26b60b5f15ed87016486d0fd0550,1,0.5
\x742aad3a12d21ebacfdaa0f8075f893b8b630e54,1,0.8
\x9d65facd3da7a45c19593e32b79ed47b2cd9994e,1,0.002
\xeb815fff2d66cb749b6c2de1a85deb77d4ffde38,1,0.7
