hour_stamp,total_transactions,gas_prices,gas_used,eth_paid_for_tx
2022-07-11T21:00:00+00:00,2,41.169988884,929860,0.03828232586367624
2022-07-11T21:00:00+00:00,1,41.169988884,935068,0.03849673916578411
2022-07-11T21:00:00+00:00,1,41.402693769,924652,0.03828308359889339
2022-07-11T21:00:00+00:00,1,41.740791804,914236,0.038160934535721745
2022-07-11T21:00:00+00:00,1,41.740791804,924652,0.03859570662315221
2022-07-11T21:00:00+00:00,1,41.765018676,924652,0.03861810804880075
2022-07-11T21:00:00+00:00,2,42.078068823,929860,0.039126713075754785
2022-07-11T21:00:00+00:00,1,42.328338976,919444,0.03891853730144934
2022-07-11T21:00:00+00:00,2,42.328338976,924640,0.03913847535076864
2022-07-11T21:00:00+00:00,1,42.328338976,924652,0.03913898329083635
2022-07-11T21:00:00+00:00,2,42.328338976,929860,0.03935942928022336
2022-07-11T21:00:00+00:00,1,42.890421346,935068,0.04010546050716153
2022-07-11T21:00:00+00:00,1,43.50948826,919408,0.04000297158215008
2022-07-11T21:00:00+00:00,1,43.913549359,929860,0.040833453006959744
2022-07-11T21:00:00+00:00,1,45.787218895,929860,0.04257570336170471
2022-07-11T21:00:00+00:00,1,46.971796567,935068,0.043921823872311555
2022-07-11T21:00:00+00:00,2,47.971796567,924652,0.04435721763926968
2022-07-11T21:00:00+00:00,1,47.971796567,929848,0.044606479094231814
2022-07-11T21:00:00+00:00,5,47.971796567,929860,0.044607054755790625
2022-07-11T21:00:00+00:00,3,47.971796567,935068,0.04485689187231155
2022-07-11T21:00:00+00:00,1,50.88037838,940276,0.04784159866163288
2022-07-11T21:00:00+00:00,1,53.589001065,924652,0.04955117701275438
2022-07-11T21:00:00+00:00,1,55.795498865,914236,0.051010253700342144
2022-07-11T21:00:00+00:00,1,57.413532824,919444,0.052788528273829856
2022-07-11T21:00:00+00:00,2,57.413532824,924652,0.05308753795277725
2022-07-11T21:00:00+00:00,1,60.470949113,924652,0.05591458403923368
2022-07-11T21:00:00+00:00,1,61.470949113,919444,0.05651909533625317
2022-07-11T21:00:00+00:00,1,61.777648117,919432,0.056800346563509546
2022-07-12T15:00:00+00:00,1,38.857224551,112629,0.004376450343954579
2022-07-13T12:00:00+00:00,1,43.453077157,95529,0.004151029007731053
2022-07-13T16:00:00+00:00,1,36.381155075,95529,0.003475455363159675
2022-07-19T11:00:00+00:00,1,30.540170394,940276,0.028716189257388745
2022-07-19T11:00:00+00:00,1,30.540170394,945484,0.028875242464800697
2022-07-19T11:00:00+00:00,1,32.361219867,940276,0.030428478371663292
2022-07-19T11:00:00+00:00,1,38.69724361,940276,0.03638608943263636
2022-07-19T11:00:00+00:00,1,38.827450618,945472,0.0367102673907017
2022-07-19T12:00:00+00:00,1,31.594000346,914236,0.028884372500325654
2022-07-19T12:00:00+00:00,1,31.594000346,924652,0.02921345560792959
2022-07-19T12:00:00+00:00,2,31.713579972,919444,0.029158860823775567
2022-07-19T12:00:00+00:00,1,34.127751019,924640,0.03155588370220816
2022-07-19T12:00:00+00:00,1,34.127751019,929860,0.03173403056252734
2022-07-19T12:00:00+00:00,1,35.301801446,924652,0.03264188131064679
2022-07-19T12:00:00+00:00,1,35.756686735,919444,0.03287627107837534
2022-07-19T12:00:00+00:00,1,35.756686735,924652,0.03306249190289122
2022-07-19T12:00:00+00:00,1,37.327101928,919444,0.03432017990508803
2022-07-19T12:00:00+00:00,1,52.429386844,924640,0.04847830825143616
