block_time,nonce,index,success,from,to,value,block_number,block_hash,gas_limit,gas_price,gas_used,data,hash,type,access_list,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
2022-07-11T21:00:41+00:00,10,37,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123668,\x281699766c3ef9e6e320dea9b3aae9aefa2d9ba7bde586726ee064454f17095a,991913,24512135102,929860,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f2911811015d5461b4e1515d051151cbaa8508a6b366ce4e9ab7fffcaee8f407f3bb00000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\xa40b54244c8b2cc96aef7c2675331800953e2d575b95b63c63512574d3c81b71,DynamicFee,,47824633737,2000000000,2000000000
2022-07-11T21:01:25+00:00,11,52,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123674,\x1ef108a87ec7b99ecf42c8ff34579a7fe04ce59ad806e3aa951c624e2314771d,991901,21235472985,929848,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f29129b56e29fdcadebe0d75b89c2e9b364961f44fdf00d062937e998db398aeafd600000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\xfb1f40ab388551459086726a27fe542e18b1a3901fb83a493f0ebe0c3f3c932f,DynamicFee,,33358833828,2000000000,2000000000
2022-07-11T21:02:06+00:00,12,83,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123676,\x9c0c488355f56da3637d260cadf36d47a60e4512005c2b666466f62370480e98,986610,22860973006,924640,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f2911aa17683ed3e90c368ac4d53c9cc138d32d21583d2073700fb315a05f739dbfb00000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\x4bcef805e0e1e96e74ed875d90b91d34cea18901a377495ead9cf7a1929a4434,DynamicFee,,34700304075,2000000000,2000000000
2022-07-11T21:02:45+00:00,13,135,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123680,\x3ee30c7dfbbb6879da4f8a06edf343c72483b2361275df07f263c2ecf0668bf0,991913,24806590482,929860,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f29116b1bd8cdea6c2041ba26e650e20a27a10d11a7b8e992e0b5410e39876cac2d100000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\x5a429eb3be5e9de5da3ffa8aa8e9c84201e97fab55623c8595f0771c10425527,DynamicFee,,40904793296,2000000000,2000000000
2022-07-11T21:03:26+00:00,14,35,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123682,\x0a72e37ca65f8c50106f0bdf0212a45fc65a52a6b9336fe8b25871ac2342f188,986622,29659229239,924652,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f2912f0d8446e3c364daa97dc7d55d7dfbfb4cdee1345ffdef4b0d756bfa34beeef300000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\x1ae8350a8d50d647f1931ebb4b1b0c5b6ee63b3cbb160df61fa30e13bee75eed,DynamicFee,,40771203820,2000000000,2000000000
2022-07-11T21:04:33+00:00,15,261,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123685,\x4e278a9424a445b8a7394cbdfc7d74a86e02d1b4730e2382cf64a8a01225072b,986610,28148353952,924640,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f291204f4f1c4e00cb32857a505d962c2cc3467dfc1dcacd8402d77a2bf429f9fef000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\x7c860c21c650e4861daf1b8d6b1756db5ac98c2e672cf682bdeb1916d0320ece,DynamicFee,,46168867635,2000000000,2000000000
2022-07-11T21:05:25+00:00,16,132,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123687,\x737d84719f0cc2fcab1f86415c50dbf99a4ecab8453c53966114b861436df8fa,986622,35089746788,919444,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f2912eaeed7202b876109c3e7dfc849c82438488cd474267696d03badbeaad61102700000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\xd15e16069e416507e5964ec1b392c51875f72b6aeb0b781b9fd7de2bab044f6c,DynamicFee,,41517087522,2000000000,2000000000
2022-07-11T21:05:25+00:00,17,185,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123687,\x737d84719f0cc2fcab1f86415c50dbf99a4ecab8453c53966114b861436df8fa,981332,35089746788,935068,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f2910f2de2cee2b561c5205b1b644d3157827a5c1ef5213db64f05e7730e3253c6e200000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\xc43391f278095d1a752b422baead9cc3403cf3d681f179e7cf1aea83a3f861c1,DynamicFee,,46452201719,2000000000,2000000000
2022-07-11T21:06:17+00:00,18,107,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123690,\x14acbe11fb53ac50a630da4459546b6bedf7b699245cb5b8318f7820949b1392,991913,43913549359,929860,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f291136a8fffb6a2d9d15dd68f29b396a335e89462f63d77605053f1644188ab9e8e00000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\x96e03b09f831081908d7576aa1a26924ae58c009d5c37fbe1f7c82601681e487,DynamicFee,,58252569540,2000000000,2000000000
2022-07-11T21:07:14+00:00,19,109,True,\x09b5027ef3a3b7332ee90321e558bad9c4447afa,\xd90e2f925da726b50c4ed8d0fb90ad053324f31b,100000000000000000000,15123696,\x353e3fd076024dfb3b9d62fcacaba7389a180d50ee48a8cd1c6f695927d0b1fd,991913,38506347151,929860,\x13d98d13000000000000000000000000a160cdab225685da1d56aa342ad8841c3b53f29107ca86d4b4268d0f343b3219414305526dd801d226abe889abc1a3216b7d8f6800000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,\x604138238e1945c67f020ada4683937857b3bc4eb8bf8ed8cbcbc8d05d997805,DynamicFee,,81284595416,2000000000,2000000000
